id,date,runtime,temperature,equipment_id,vibration,pressure,humidity,current_value,voltage,label
2839,2026-06-04 19:45:57.000000,1032.46,55.17,158,7.49,3.07,79.38,33.63,423.62,RISQUE
2840,2026-06-04 19:45:57.000000,565.4,71.22,184,7.68,5.86,63.58,34.04,413.51,RISQUE
2841,2026-06-04 19:45:57.000000,2188.44,95.45,167,4.97,5.98,59.37,12.95,419.63,RISQUE
2842,2026-06-04 19:45:57.000000,3205.92,61.44,168,9.02,6.01,48.4,16.3,412.63,RISQUE
2843,2026-06-04 19:45:57.000000,2357.73,81.82,169,8.23,3.28,78.48,23.73,426.92,PANNE
2844,2026-06-04 19:45:57.000000,2202.62,87.94,157,6.46,4.64,71.89,55.47,397.13,PANNE
2845,2026-06-04 19:45:57.000000,1659.57,72.07,179,5.27,4.39,78.41,40.02,404.9,OK
2846,2026-06-04 19:45:57.000000,753.01,79.96,183,4.24,6.34,34.2,47.23,400.75,OK
2847,2026-06-04 19:45:57.000000,2642.63,137.97,175,7.23,4.37,41.96,38.74,386.58,PANNE
2848,2026-06-04 19:45:57.000000,550.28,47.18,173,5.46,5.39,75.14,46.39,392.94,OK
2849,2026-06-04 19:45:57.000000,699.95,84.33,158,6.84,3.09,32.45,37.46,407.42,RISQUE
2850,2026-06-04 19:45:57.000000,1204.17,99.74,159,2.12,3.78,38.44,41.88,415.95,RISQUE
2851,2026-06-04 19:45:57.000000,3074.35,86.93,166,2.52,5.42,70.09,24.32,395.68,RISQUE
2852,2026-06-04 19:45:57.000000,2836.24,45.15,171,5.07,3.0,58.92,50.36,405.38,OK
2853,2026-06-04 19:45:57.000000,1911.38,97.37,168,7.47,3.63,53.13,57.54,405.87,PANNE
2854,2026-06-04 19:45:57.000000,1842.52,94.31,174,0.91,2.56,47.47,15.86,412.75,OK
2855,2026-06-04 19:45:57.000000,1574.68,58.5,185,4.04,6.71,60.22,44.49,426.29,OK
2856,2026-06-04 19:45:57.000000,1380.65,79.46,166,5.09,5.31,77.04,56.72,389.2,OK
2857,2026-06-04 19:45:57.000000,3142.41,71.44,160,0.46,4.93,77.78,21.08,413.13,OK
2858,2026-06-04 19:45:57.000000,3234.25,68.56,158,4.15,3.71,57.72,24.28,372.5,OK
2859,2026-06-04 19:45:57.000000,566.99,88.1,173,8.96,4.07,52.86,43.17,380.45,RISQUE
2860,2026-06-04 19:45:57.000000,2325.2,73.66,177,5.17,5.8,45.17,59.06,378.85,OK
2861,2026-06-04 19:45:57.000000,1181.97,102.61,170,9.41,2.11,47.29,28.74,370.55,PANNE
2862,2026-06-04 19:45:57.000000,540.98,109.24,165,3.75,6.17,32.84,46.66,401.45,RISQUE
2863,2026-06-04 19:45:57.000000,2645.15,75.94,159,8.8,3.27,68.08,30.44,378.39,RISQUE
2864,2026-06-04 19:45:57.000000,3070.48,42.28,175,1.13,6.98,68.65,21.52,383.15,OK
2865,2026-06-04 19:45:57.000000,2638.57,79.83,168,5.77,5.73,89.83,47.46,415.28,OK
2866,2026-06-04 19:45:57.000000,2052.1,60.45,167,0.53,5.56,54.24,54.12,381.98,OK
2867,2026-06-04 19:45:57.000000,573.78,110.05,186,3.69,5.87,75.42,33.3,373.51,RISQUE
2868,2026-06-04 19:45:57.000000,2277.72,89.06,172,6.04,3.22,54.41,25.13,387.51,PANNE
2869,2026-06-04 19:45:57.000000,2051.25,64.78,183,7.27,2.42,44.14,56.41,426.08,RISQUE
2870,2026-06-04 19:45:57.000000,1244.54,72.58,170,7.98,3.22,79.55,29.88,400.65,RISQUE
2871,2026-06-04 19:45:57.000000,1406.92,50.84,168,6.98,4.93,79.82,29.82,399.46,RISQUE
2872,2026-06-04 19:45:57.000000,1726.14,128.36,181,9.17,3.79,32.36,16.12,399.68,PANNE
2873,2026-06-04 19:45:57.000000,1846.93,89.88,182,7.62,4.32,32.07,48.98,417.66,RISQUE
2874,2026-06-04 19:45:57.000000,1654.24,40.41,169,8.93,3.56,82.95,33.74,413.6,RISQUE
2875,2026-06-04 19:45:57.000000,1129.52,65.6,183,1.29,2.08,71.33,29.95,425.69,OK
2876,2026-06-04 19:45:57.000000,1503.04,67.46,164,6.12,2.29,56.96,13.78,371.81,RISQUE
2877,2026-06-04 19:45:57.000000,996.37,69.01,180,6.52,5.81,81.36,59.65,393.82,RISQUE
2878,2026-06-04 19:45:57.000000,3293.06,96.03,185,2.5,4.29,62.32,25.99,428.97,PANNE
2879,2026-06-04 19:45:57.000000,2391.94,44.87,184,7.88,2.24,82.61,21.99,404.11,RISQUE
2880,2026-06-04 19:45:57.000000,2250.42,85.24,173,1.32,6.54,38.51,59.38,400.75,RISQUE
2881,2026-06-04 19:45:57.000000,2843.28,41.52,170,7.91,5.06,71.27,40.13,426.94,RISQUE
2882,2026-06-04 19:45:57.000000,1706.94,83.52,157,4.84,3.05,66.16,29.07,375.93,OK
2883,2026-06-04 19:45:57.000000,2455.56,40.2,159,2.44,3.33,66.04,20.14,382.7,OK
2884,2026-06-04 19:45:57.000000,2392.77,66.66,187,1.55,6.42,87.33,16.21,415.29,OK
2885,2026-06-04 19:45:57.000000,740.42,46.13,160,9.41,4.33,60.32,16.46,377.83,RISQUE
2886,2026-06-04 19:45:57.000000,2555.97,77.19,167,6.38,2.66,74.87,27.12,398.14,RISQUE
2887,2026-06-04 19:45:57.000000,1092.08,73.02,184,5.1,6.79,45.6,31.31,391.04,OK
2888,2026-06-04 19:45:57.000000,2420.13,58.67,169,8.0,2.4,30.07,48.26,419.32,RISQUE
2889,2026-06-04 19:45:57.000000,1485.13,40.7,157,5.9,6.82,32.85,27.38,405.72,OK
2890,2026-06-04 19:45:57.000000,601.06,66.35,180,1.92,6.3,73.46,12.07,372.0,OK
2891,2026-06-04 19:45:57.000000,1959.66,41.22,183,3.41,3.23,42.24,24.19,418.43,OK
